id,day,temperature,light_intensity,logger
822,7,14.61277778,1,12
823,7,14.70888889,1,12
824,7,14.9,2,12
825,8,14.23,1,12
826,8,13.46111111,1,12
827,8,12.98,2,12
828,8,12.40111111,2,12
829,8,12.11,2,12
830,8,12.30388889,2,12
831,8,12.20722222,0,12
832,8,12.11,3,12
833,8,12.20722222,47,12
834,8,13.17277778,416,12
835,8,14.70888889,512,12
836,8,15.95111111,304,12
837,8,16.71277778,224,12
838,8,17.95,272,12
839,8,18.80611111,208,12
840,8,19.09222222,113,12
841,8,19.75777778,184,12
842,8,19.75777778,82,12
843,8,19.66222222,31,12
844,8,18.99611111,2,12
845,8,18.99611111,1,12
846,8,18.61611111,1,12
847,8,18.42611111,2,12
848,8,18.14,2,12
849,9,17.95,2,12
850,9,14.13388889,3,12
851,9,15.09111111,1,12
852,9,15.855,2,12
853,9,13.84611111,3,12
854,9,14.51722222,2,12
855,9,14.99611111,0,12
856,9,15.18722222,3,12
857,9,15.56888889,47,12
858,9,16.90277778,288,12
859,9,18.61611111,496,12
860,9,19.85277778,288,12
861,9,20.42388889,224,12
862,9,21.47277778,352,12
863,9,21.47277778,304,12
864,9,21.09111111,248,12
865,9,20.90111111,272,12
866,9,20.42388889,78,12
867,9,19.47222222,30,12
868,9,18.90111111,2,12
869,9,18.99611111,2,12
870,9,19.37722222,1,12
871,9,19.66222222,2,12
872,9,19.47222222,2,12
873,10,19.47222222,2,12
874,10,19.09222222,2,12
875,10,19.28222222,2,12
876,10,19.09222222,2,12
877,10,19.56722222,2,12
878,10,19.66222222,2,12
879,10,19.66222222,0,12
880,10,17.76,0,12
881,10,17.665,184,12
882,10,17.855,184,12
883,10,16.71277778,192,12
884,10,14.03777778,27,12
885,10,12.88277778,48,12
886,10,12.49722222,58,12
887,10,12.01277778,144,12
888,10,11.72222222,120,12
889,10,11.43111111,104,12
890,10,11.23611111,51,12
891,10,11.23611111,8,12
892,10,11.52777778,1,12
893,10,11.91611111,2,12
894,10,11.72222222,3,12
895,10,10.84611111,2,12
896,10,10.55277778,2,12
897,11,9.866111111,2,12
898,11,9.472222222,2,12
899,11,9.275,2,12
900,11,9.275,2,12
901,11,9.176111111,2,12
902,11,8.581111111,1,12
903,11,7.982777778,0,12
904,11,7.982777778,0,12
905,11,7.481111111,40,12
906,11,8.68,352,12
907,11,10.16111111,432,12
908,11,11.52777778,248,12
909,11,12.20722222,208,12
910,11,13.07611111,248,12
911,11,14.13388889,192,12
912,11,14.51722222,82,12
913,11,15.18722222,152,12
914,11,15.09111111,58,12
915,11,14.70888889,21,12
916,11,14.13388889,2,12
917,11,14.23,2,12
918,11,13.94222222,2,12
919,11,13.46111111,2,12
920,11,13.07611111,2,12
921,12,12.98,2,12
922,12,12.59388889,2,12
923,12,12.40111111,2,12
924,12,12.01277778,2,12
925,12,11.72222222,2,12
926,12,11.43111111,2,12
927,12,11.23611111,0,12
928,12,11.04111111,1,12
929,12,11.13888889,44,12
930,12,13.26888889,512,12
931,12,14.80388889,400,12
932,12,16.99888889,117,12
933,12,17.37888889,512,12
934,12,17.28388889,768,12
935,12,17.855,512,12
936,12,17.76,480,12
937,12,17.57,320,12
938,12,16.99888889,109,12
939,12,16.71277778,35,12
940,12,16.52277778,1,12
941,12,16.33222222,3,12
942,12,16.04611111,3,12
943,12,15.855,2,12
944,12,15.28222222,2,12
945,13,14.9,2,12
946,13,12.01277778,3,12
947,13,12.69,2,12
948,13,12.49722222,2,12
949,13,12.49722222,5,12
950,13,12.11,3,12
951,13,12.59388889,0,12
952,13,12.69,1,12
953,13,13.07611111,40,12
954,13,14.13388889,288,12
955,13,15.76,512,12
956,13,16.42722222,320,12
957,13,17.665,672,12
958,13,17.28388889,368,12
959,13,18.23611111,480,12
960,13,18.61611111,480,12
961,13,18.52111111,320,12
962,13,18.33111111,176,12
963,13,17.57,14,12
964,13,17.09388889,2,12
965,13,16.80777778,2,12
966,13,16.52277778,2,12
967,13,16.80777778,2,12
